Route ID,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration (min),Wait Before (min)
ROUTE_06,3,12049,GATIMAN EXPR,AGC,NZM,17:50:00,19:30:00,181.0,241.33,225.0
ROUTE_06,4,54539,DELHI AMBALA,NZM,NDLS,03:00:00,03:20:00,7.0,11.05,450.0
ROUTE_07,1,12257,YPR-KCVL EXP,PGT,TCR,05:15:00,06:35:00,76.0,120.0,0.0
ROUTE_07,2,12626,NDLS-TVC KER,TCR,AGC,07:45:00,14:05:00,2525.0,2612.07,70.0
ROUTE_07,3,12049,GATIMAN EXPR,AGC,NZM,17:50:00,19:30:00,181.0,241.33,225.0
ROUTE_07,4,11449,JBP-SVDK EXP,NZM,NDLS,22:35:00,23:00:00,8.0,12.63,185.0
ROUTE_08,1,12257,YPR-KCVL EXP,PGT,TCR,05:15:00,06:35:00,76.0,120.0,0.0
ROUTE_08,2,12626,NDLS-TVC KER,TCR,AGC,07:45:00,14:05:00,2525.0,2612.07,70.0
ROUTE_08,3,12049,GATIMAN EXPR,AGC,NZM,17:50:00,19:30:00,181.0,241.33,225.0
ROUTE_08,4,12137,PUNJAB MAIL,NZM,NDLS,20:53:00,21:15:00,7.0,11.05,83.0
ROUTE_09,1,12257,YPR-KCVL EXP,PGT,TCR,05:15:00,06:35:00,76.0,120.0,0.0
ROUTE_09,2,12626,NDLS-TVC KER,TCR,AGC,07:45:00,14:05:00,2525.0,2612.07,70.0
ROUTE_09,3,12049,GATIMAN EXPR,AGC,NZM,17:50:00,19:30:00,181.0,241.33,225.0
ROUTE_09,4,16031,MAS-SVDK AND,NZM,NDLS,22:35:00,23:00:00,8.0,12.63,185.0
ROUTE_10,1,12257,YPR-KCVL EXP,PGT,TCR,05:15:00,06:35:00,76.0,120.0,0.0
ROUTE_10,2,12626,NDLS-TVC KER,TCR,AGC,07:45:00,14:05:00,2525.0,2612.07,70.0
ROUTE_10,3,12049,GATIMAN EXPR,AGC,NZM,17:50:00,19:30:00,181.0,241.33,225.0
ROUTE_10,4,16317,CAPE-SVDK HI,NZM,NDLS,21:10:00,21:40:00,7.0,11.05,100.0
ROUTE_11,1,12257,YPR-KCVL EXP,PGT,TCR,05:15:00,06:35:00,76.0,120.0,0.0
ROUTE_11,2,12626,NDLS-TVC KER,TCR,AGC,07:45:00,14:05:00,2525.0,2612.07,70.0
ROUTE_11,3,12049,GATIMAN EXPR,AGC,NZM,17:50:00,19:30:00,181.0,241.33,225.0
ROUTE_11,4,16687,MAQ-SVDK NAV,NZM,NDLS,21:10:00,21:40:00,7.0,11.05,100.0
ROUTE_12,1,12257,YPR-KCVL EXP,PGT,TCR,05:15:00,06:35:00,76.0,120.0,0.0
ROUTE_12,2,12626,NDLS-TVC KER,TCR,AGC,07:45:00,14:05:00,2525.0,2612.07,70.0
ROUTE_12,3,12049,GATIMAN EXPR,AGC,NZM,17:50:00,19:30:00,181.0,241.33,225.0
ROUTE_12,4,19307,CHANDIGARH E,NZM,NDLS,00:18:00,00:55:00,7.0,11.05,288.0
ROUTE_13,1,12257,YPR-KCVL EXP,PGT,TCR,05:15:00,06:35:00,76.0,120.0,0.0
ROUTE_13,2,12626,NDLS-TVC KER,TCR,AGC,07:45:00,14:05:00,2525.0,2612.07,70.0
ROUTE_13,3,12049,GATIMAN EXPR,AGC,NZM,17:50:00,19:30:00,181.0,241.33,225.0
ROUTE_13,4,19805,KOTA-UHP WEE,NZM,NDLS,22:35:00,23:00:00,8.0,12.63,185.0
ROUTE_14,1,12257,YPR-KCVL EXP,PGT,TCR,05:15:00,06:35:00,76.0,120.0,0.0
ROUTE_14,2,12626,NDLS-TVC KER,TCR,AGC,07:45:00,14:05:00,2525.0,2612.07,70.0
ROUTE_14,3,12550,JAT - DURG S,AGC,JHS,18:45:00,22:30:00,204.0,272.0,280.0
ROUTE_14,4,82651,YPR-SVDK WEE,JHS,NDLS,00:38:00,07:30:00,393.0,471.6,128.0
ROUTE_15,1,12257,YPR-KCVL EXP,PGT,TCR,05:15:00,06:35:00,76.0,120.0,0.0
ROUTE_15,2,12626,NDLS-TVC KER,TCR,AGC,07:45:00,14:05:00,2525.0,2612.07,70.0
ROUTE_15,3,14212,AGC INTERCIT,AGC,CSB,22:05:00,17:40:00,190.0,253.33,480.0
ROUTE_15,4,54001,TILAK BRIDGE,CSB,NDLS,18:40:00,18:53:00,1.0,1.58,60.0
ROUTE_16,1,12257,YPR-KCVL EXP,PGT,TCR,05:15:00,06:35:00,76.0,120.0,0.0
ROUTE_16,2,12626,NDLS-TVC KER,TCR,AGC,07:45:00,14:05:00,2525.0,2612.07,70.0
ROUTE_16,3,14212,AGC INTERCIT,AGC,CSB,22:05:00,17:40:00,190.0,253.33,480.0
ROUTE_16,4,64019,PWL-SSB EMU,CSB,NDLS,23:38:00,23:55:00,1.0,1.58,358.0
ROUTE_17,1,12257,YPR-KCVL EXP,PGT,TCR,05:15:00,06:35:00,76.0,120.0,0.0
ROUTE_17,2,12626,NDLS-TVC KER,TCR,AGC,07:45:00,14:05:00,2525.0,2612.07,70.0
ROUTE_17,3,14212,AGC INTERCIT,AGC,CSB,22:05:00,17:40:00,190.0,253.33,480.0
ROUTE_17,4,64051,PWL-GZB 12CA,CSB,NDLS,00:22:00,00:43:00,1.0,1.58,402.0
ROUTE_18,1,12257,YPR-KCVL EXP,PGT,TCR,05:15:00,06:35:00,76.0,120.0,0.0
ROUTE_18,2,12626,NDLS-TVC KER,TCR,AGC,07:45:00,14:05:00,2525.0,2612.07,70.0
ROUTE_18,3,14212,AGC INTERCIT,AGC,CSB,22:05:00,17:40:00,190.0,253.33,480.0
ROUTE_18,4,64061,PWL-DLI EMU,CSB,NDLS,18:48:00,19:00:00,1.0,1.58,68.0
ROUTE_19,1,12257,YPR-KCVL EXP,PGT,TCR,05:15:00,06:35:00,76.0,120.0,0.0
ROUTE_19,2,12626,NDLS-TVC KER,TCR,AGC,07:45:00,14:05:00,2525.0,2612.07,70.0
ROUTE_19,3,14212,AGC INTERCIT,AGC,CSB,22:05:00,17:40:00,190.0,253.33,480.0
ROUTE_19,4,64073,KSV-NDLS 12C,CSB,NDLS,21:54:00,22:10:00,1.0,1.58,254.0
ROUTE_20,1,12257,YPR-KCVL EXP,PGT,TCR,05:15:00,06:35:00,76.0,120.0,0.0
ROUTE_20,2,12626,NDLS-TVC KER,TCR,AGC,07:45:00,14:05:00,2525.0,2612.07,70.0
ROUTE_20,3,14212,AGC INTERCIT,AGC,CSB,22:05:00,17:40:00,190.0,253.33,480.0
ROUTE_20,4,64088,NZM-NDLS 10C,CSB,NDLS,20:48:00,21:05:00,2.0,3.16,188.0
ROUTE_21,1,12257,YPR-KCVL EXP,PGT,TCR,05:15:00,06:35:00,76.0,120.0,0.0
ROUTE_21,2,12626,NDLS-TVC KER,TCR,AGC,07:45:00,14:05:00,2525.0,2612.07,70.0
ROUTE_21,3,14212,AGC INTERCIT,AGC,CSB,22:05:00,17:40:00,190.0,253.33,480.0
ROUTE_21,4,64092,NZM-NZM EMU,CSB,NDLS,19:04:00,19:15:00,2.0,3.16,84.0
ROUTE_22,1,12257,YPR-KCVL EXP,PGT,TCR,05:15:00,06:35:00,76.0,120.0,0.0
ROUTE_22,2,12626,NDLS-TVC KER,TCR,AGC,07:45:00,14:05:00,2525.0,2612.07,70.0
ROUTE_22,3,14212,AGC INTERCIT,AGC,CSB,22:05:00,17:40:00,190.0,253.33,480.0
ROUTE_22,4,64113,KRJ-SSB 12CA,CSB,NDLS,21:44:00,21:57:00,2.0,3.16,244.0
ROUTE_23,1,12257,YPR-KCVL EXP,PGT,TCR,05:15:00,06:35:00,76.0,120.0,0.0
ROUTE_23,2,12626,NDLS-TVC KER,TCR,AGC,07:45:00,14:05:00,2525.0,2612.07,70.0
ROUTE_23,3,14212,AGC INTERCIT,AGC,CSB,22:05:00,17:40:00,190.0,253.33,480.0
ROUTE_23,4,64415,GZB-NDLS EMU,CSB,NDLS,23:31:00,23:45:00,1.0,1.58,351.0
ROUTE_24,1,12257,YPR-KCVL EXP,PGT,TCR,05:15:00,06:35:00,76.0,120.0,0.0
ROUTE_24,2,12626,NDLS-TVC KER,TCR,AGC,07:45:00,14:05:00,2525.0,2612.07,70.0
ROUTE_24,3,14212,AGC INTERCIT,AGC,CSB,22:05:00,17:40:00,190.0,253.33,480.0
ROUTE_24,4,64443,GZB-DLI 12CA,CSB,NDLS,19:04:00,19:20:00,1.0,1.58,84.0
ROUTE_25,1,12258,KCVL-YPR EXP,PGT,CBE,00:15:00,01:37:00,55.0,86.84,0.0
ROUTE_25,2,11013,COIMBATORE E,CBE,PUNE,07:15:00,01:50:00,1340.0,1340.0,338.0
ROUTE_25,3,12104,LJN-PUNE EXP,PUNE,CNB,08:05:00,07:50:00,1405.0,1405.0,375.0
ROUTE_25,4,12825,RNC NDLS SAM,CNB,NDLS,13:55:00,20:55:00,431.0,517.2,365.0
ROUTE_26,1,12258,KCVL-YPR EXP,PGT,CBE,00:15:00,01:37:00,55.0,86.84,0.0
ROUTE_26,2,12648,KONGU EXPRES,CBE,RKM,09:15:00,10:54:00,2471.0,2556.21,458.0
ROUTE_26,3,51902,DLI-AGC PASS,RKM,AGC,12:43:00,13:25:00,4.0,6.32,109.0
ROUTE_26,4,22415,SUPERFAST AC,AGC,NDLS,15:45:00,19:05:00,188.0,250.67,140.0
ROUTE_27,1,16187,KIK-ERSEXP,PGT,NCR,03:05:00,16:18:00,431.0,517.2,0.0
ROUTE_27,2,11017,LTT-KIK WEEK,NCR,KYN,17:50:00,12:52:00,1583.0,1583.0,92.0
ROUTE_27,3,11201,LTT-AJNI EXP,KYN,IGP,17:20:00,19:50:00,83.0,131.05,268.0
ROUTE_27,4,11057,AMRITSAR EXP,IGP,NDLS,02:20:00,04:15:00,1388.0,1388.0,390.0
ROUTE_28,1,22476,CBE BKN AC S,PGT,BRC,16:20:00,19:31:00,1598.0,1598.0,0.0
ROUTE_28,2,22993,BDTS MHV SF,BRC,ANND,22:01:00,22:47:00,36.0,56.84,150.0
ROUTE_28,3,22452,CDG - BDTS E,ANND,UMB,02:28:00,06:30:00,1121.0,1121.0,221.0
ROUTE_28,4,12014,ASR-NDLS SHA,UMB,NDLS,08:32:00,11:00:00,198.0,264.0,122.0
ROUTE_29,1,22476,CBE BKN AC S,PGT,BRC,16:20:00,19:31:00,1598.0,1598.0,0.0
ROUTE_29,2,22993,BDTS MHV SF,BRC,ANND,22:01:00,22:47:00,36.0,56.84,150.0
ROUTE_29,3,22452,CDG - BDTS E,ANND,UMB,02:28:00,06:30:00,1121.0,1121.0,221.0
ROUTE_29,4,12204,GRIB RATH,UMB,NDLS,08:10:00,10:45:00,198.0,264.0,100.0
ROUTE_30,1,22476,CBE BKN AC S,PGT,BRC,16:20:00,19:31:00,1598.0,1598.0,0.0
ROUTE_30,2,22993,BDTS MHV SF,BRC,ANND,22:01:00,22:47:00,36.0,56.84,150.0
ROUTE_30,3,22452,CDG - BDTS E,ANND,UMB,02:28:00,06:30:00,1121.0,1121.0,221.0
ROUTE_30,4,12484,KCVL EXPRESS,UMB,NDLS,10:20:00,13:20:00,198.0,264.0,230.0
ROUTE_31,1,22476,CBE BKN AC S,PGT,BRC,16:20:00,19:31:00,1598.0,1598.0,0.0
ROUTE_31,2,22993,BDTS MHV SF,BRC,ANND,22:01:00,22:47:00,36.0,56.84,150.0
ROUTE_31,3,22452,CDG - BDTS E,ANND,UMB,02:28:00,06:30:00,1121.0,1121.0,221.0
ROUTE_31,4,22126,ASR-NGP AC E,UMB,NDLS,08:10:00,10:45:00,198.0,264.0,100.0
ROUTE_32,1,22476,CBE BKN AC S,PGT,BRC,16:20:00,19:31:00,1598.0,1598.0,0.0
ROUTE_32,2,22993,BDTS MHV SF,BRC,ANND,22:01:00,22:47:00,36.0,56.84,150.0
ROUTE_32,3,22452,CDG - BDTS E,ANND,UMB,02:28:00,06:30:00,1121.0,1121.0,221.0
ROUTE_32,4,22462,SHRI SHAKTI,UMB,NDLS,08:00:00,10:35:00,199.0,265.33,90.0
ROUTE_33,1,22476,CBE BKN AC S,PGT,BRC,16:20:00,19:31:00,1598.0,1598.0,0.0
ROUTE_33,2,22993,BDTS MHV SF,BRC,ANND,22:01:00,22:47:00,36.0,56.84,150.0
ROUTE_33,3,22452,CDG - BDTS E,ANND,UMB,02:28:00,06:30:00,1121.0,1121.0,221.0
ROUTE_33,4,82652,SVDK-YPR WEE,UMB,NDLS,14:10:00,16:40:00,199.0,265.33,460.0
ROUTE_34,1,22476,CBE BKN AC S,PGT,BRC,16:20:00,19:31:00,1598.0,1598.0,0.0
ROUTE_34,2,12247,BDTS NZM YUV,BRC,RTM,21:46:00,01:05:00,262.0,349.33,135.0
ROUTE_34,3,12903,GOLDENTEMPLE,RTM,NAD,07:15:00,08:10:00,45.0,71.05,370.0
ROUTE_34,4,12416,INTERCITY  E,NAD,NDLS,09:10:00,21:50:00,678.0,739.64,60.0
ROUTE_35,1,22476,CBE BKN AC S,PGT,BRC,16:20:00,19:31:00,1598.0,1598.0,0.0
ROUTE_35,2,12431,TVC-NZM RAJD,BRC,KOTA,00:24:00,06:45:00,528.0,576.0,293.0
ROUTE_35,3,12431,TVC-NZM RAJD,KOTA,NZM,06:55:00,12:40:00,447.0,536.4,0.0
ROUTE_35,4,12449,GOA SMPRK K,NZM,NDLS,17:15:00,17:45:00,7.0,11.05,275.0
ROUTE_36,1,22476,CBE BKN AC S,PGT,BRC,16:20:00,19:31:00,1598.0,1598.0,0.0
ROUTE_36,2,12431,TVC-NZM RAJD,BRC,KOTA,00:24:00,06:45:00,528.0,576.0,293.0
ROUTE_36,3,12431,TVC-NZM RAJD,KOTA,NZM,06:55:00,12:40:00,447.0,536.4,0.0
ROUTE_36,4,12625,KERALA EXPRE,NZM,NDLS,13:23:00,13:45:00,7.0,11.05,43.0
ROUTE_37,1,22476,CBE BKN AC S,PGT,BRC,16:20:00,19:31:00,1598.0,1598.0,0.0
ROUTE_37,2,12431,TVC-NZM RAJD,BRC,KOTA,00:24:00,06:45:00,528.0,576.0,293.0
ROUTE_37,3,12431,TVC-NZM RAJD,KOTA,NZM,06:55:00,12:40:00,447.0,536.4,0.0
ROUTE_37,4,18507,VSKP-ASR HIR,NZM,NDLS,14:17:00,14:40:00,7.0,11.05,97.0
ROUTE_38,1,22476,CBE BKN AC S,PGT,BRC,16:20:00,19:31:00,1598.0,1598.0,0.0
ROUTE_38,2,22476,CBE BKN AC S,BRC,ANND,19:41:00,20:11:00,36.0,56.84,0.0
ROUTE_38,3,22452,CDG - BDTS E,ANND,UMB,02:28:00,06:30:00,1121.0,1121.0,377.0
ROUTE_38,4,12014,ASR-NDLS SHA,UMB,NDLS,08:32:00,11:00:00,198.0,264.0,122.0
ROUTE_39,1,22476,CBE BKN AC S,PGT,BRC,16:20:00,19:31:00,1598.0,1598.0,0.0
ROUTE_39,2,22476,CBE BKN AC S,BRC,ANND,19:41:00,20:11:00,36.0,56.84,0.0
ROUTE_39,3,22452,CDG - BDTS E,ANND,UMB,02:28:00,06:30:00,1121.0,1121.0,377.0
ROUTE_39,4,12204,GRIB RATH,UMB,NDLS,08:10:00,10:45:00,198.0,264.0,100.0
ROUTE_40,1,22476,CBE BKN AC S,PGT,BRC,16:20:00,19:31:00,1598.0,1598.0,0.0
ROUTE_40,2,22476,CBE BKN AC S,BRC,ANND,19:41:00,20:11:00,36.0,56.84,0.0
ROUTE_40,3,22452,CDG - BDTS E,ANND,UMB,02:28:00,06:30:00,1121.0,1121.0,377.0
ROUTE_40,4,12484,KCVL EXPRESS,UMB,NDLS,10:20:00,13:20:00,198.0,264.0,230.0
ROUTE_41,1,22476,CBE BKN AC S,PGT,BRC,16:20:00,19:31:00,1598.0,1598.0,0.0
ROUTE_41,2,22476,CBE BKN AC S,BRC,ANND,19:41:00,20:11:00,36.0,56.84,0.0
ROUTE_41,3,22452,CDG - BDTS E,ANND,UMB,02:28:00,06:30:00,1121.0,1121.0,377.0
ROUTE_41,4,22126,ASR-NGP AC E,UMB,NDLS,08:10:00,10:45:00,198.0,264.0,100.0
ROUTE_42,1,22476,CBE BKN AC S,PGT,BRC,16:20:00,19:31:00,1598.0,1598.0,0.0
ROUTE_42,2,22476,CBE BKN AC S,BRC,ANND,19:41:00,20:11:00,36.0,56.84,0.0
ROUTE_42,3,22452,CDG - BDTS E,ANND,UMB,02:28:00,06:30:00,1121.0,1121.0,377.0
ROUTE_42,4,22462,SHRI SHAKTI,UMB,NDLS,08:00:00,10:35:00,199.0,265.33,90.0
ROUTE_43,1,22476,CBE BKN AC S,PGT,BRC,16:20:00,19:31:00,1598.0,1598.0,0.0
ROUTE_43,2,22476,CBE BKN AC S,BRC,ANND,19:41:00,20:11:00,36.0,56.84,0.0
ROUTE_43,3,22452,CDG - BDTS E,ANND,UMB,02:28:00,06:30:00,1121.0,1121.0,377.0
ROUTE_43,4,82652,SVDK-YPR WEE,UMB,NDLS,14:10:00,16:40:00,199.0,265.33,460.0
ROUTE_44,1,22837,HTE ERS DHAR,PGT,ERS,07:55:00,10:55:00,150.0,236.84,0.0
ROUTE_44,2,22837,HTE ERS DHAR,ERS,JSG,10:55:00,22:35:00,1973.0,2041.03,0.0
ROUTE_44,3,12102,JNANESWARISU,JSG,BSP,06:30:00,09:25:00,206.0,274.67,475.0
ROUTE_44,4,12441,BSP-NDLS,BSP,NDLS,14:00:00,10:55:00,1487.0,1487.0,275.0
ROUTE_45,1,12257,YPR-KCVL EXP,PGT,TCR,05:15:00,06:35:00,76.0,120.0,0.0
ROUTE_45,2,12626,NDLS-TVC KER,TCR,AGC,07:45:00,14:05:00,2525.0,2612.07,70.0
ROUTE_45,3,14212,AGC INTERCIT,AGC,CSB,22:05:00,17:40:00,190.0,253.33,480.0
ROUTE_45,4,14212,AGC INTERCIT,CSB,TKJ,17:41:00,17:45:00,1.0,1.58,0.0
ROUTE_45,5,13007,U ABHATOOFAN,TKJ,NDLS,19:27:00,19:40:00,3.0,4.74,102.0
ROUTE_46,1,16343,TVC-MDU AMRI,PGT,PGTN,07:30:00,07:45:00,4.0,6.32,0.0
ROUTE_46,2,16343,TVC-MDU AMRI,PGTN,POY,07:50:00,09:05:00,54.0,85.26,0.0
ROUTE_46,3,16343,TVC-MDU AMRI,POY,VAK,09:10:00,23:04:00,385.0,462.0,0.0
ROUTE_46,4,12076,TVC - CLT JA,VAK,QLN,06:35:00,06:58:00,23.0,36.32,451.0
ROUTE_46,5,12217,KERALA S.KRA,QLN,NDLS,10:25:00,11:20:00,2784.0,2880.0,207.0
ROUTE_47,1,16359,ERS PATNA EX,PGT,BSB,02:05:00,04:45:00,2611.0,2701.03,0.0
ROUTE_47,2,16359,ERS PATNA EX,BSB,MGS,04:55:00,05:38:00,19.0,30.0,0.0
ROUTE_47,3,12819,BBS-NDLS SAM,MGS,CNB,09:00:00,13:40:00,347.0,416.4,202.0
ROUTE_47,4,12179,INTERCITY,CNB,PNK,17:30:00,17:45:00,8.0,12.63,230.0
ROUTE_47,5,12451,SHRAM SHKTI,PNK,NDLS,00:02:00,06:35:00,422.0,506.4,377.0
ROUTE_48,1,22476,CBE BKN AC S,PGT,BRC,16:20:00,19:31:00,1598.0,1598.0,0.0
ROUTE_48,2,12431,TVC-NZM RAJD,BRC,KOTA,00:24:00,06:45:00,528.0,576.0,293.0
ROUTE_48,3,12431,TVC-NZM RAJD,KOTA,NZM,06:55:00,12:40:00,447.0,536.4,0.0
ROUTE_48,4,11111,GWL-BLP SUSH,NZM,GZB,19:10:00,20:07:00,27.0,42.63,390.0
ROUTE_48,5,12003,LKO-NDLS SHA,GZB,NDLS,21:32:00,22:15:00,26.0,41.05,85.0
ROUTE_49,1,22476,CBE BKN AC S,PGT,BRC,16:20:00,19:31:00,1598.0,1598.0,0.0
ROUTE_49,2,12431,TVC-NZM RAJD,BRC,KOTA,00:24:00,06:45:00,528.0,576.0,293.0
ROUTE_49,3,12431,TVC-NZM RAJD,KOTA,NZM,06:55:00,12:40:00,447.0,536.4,0.0
ROUTE_49,4,11111,GWL-BLP SUSH,NZM,GZB,19:10:00,20:07:00,27.0,42.63,390.0
ROUTE_49,5,12018,DDN-NDLS SHA,GZB,NDLS,22:05:00,22:45:00,26.0,41.05,118.0
ROUTE_50,1,22476,CBE BKN AC S,PGT,BRC,16:20:00,19:31:00,1598.0,1598.0,0.0
ROUTE_50,2,12431,TVC-NZM RAJD,BRC,KOTA,00:24:00,06:45:00,528.0,576.0,293.0
ROUTE_50,3,12431,TVC-NZM RAJD,KOTA,NZM,06:55:00,12:40:00,447.0,536.4,0.0
ROUTE_50,4,11111,GWL-BLP SUSH,NZM,GZB,19:10:00,20:07:00,27.0,42.63,390.0
ROUTE_50,5,12801,PURI-NDLS PU,GZB,NDLS,03:32:00,04:25:00,26.0,41.05,445.0
ROUTE_51,1,22476,CBE BKN AC S,PGT,BRC,16:20:00,19:31:00,1598.0,1598.0,0.0
ROUTE_51,2,12431,TVC-NZM RAJD,BRC,KOTA,00:24:00,06:45:00,528.0,576.0,293.0
ROUTE_51,3,12431,TVC-NZM RAJD,KOTA,NZM,06:55:00,12:40:00,447.0,536.4,0.0
ROUTE_51,4,11111,GWL-BLP SUSH,NZM,GZB,19:10:00,20:07:00,27.0,42.63,390.0
ROUTE_51,5,12875,PURI-NDLS NE,GZB,NDLS,20:59:00,21:45:00,26.0,41.05,52.0
ROUTE_52,1,22476,CBE BKN AC S,PGT,BRC,16:20:00,19:31:00,1598.0,1598.0,0.0
ROUTE_52,2,19020,DEHRADUN EXP,BRC,RK,20:07:00,14:40:00,1201.0,1201.0,36.0
ROUTE_52,3,12055,DDN JANSHATA,RK,HW,18:48:00,19:50:00,41.0,64.74,248.0
ROUTE_52,4,12055,DDN JANSHATA,HW,DDN,19:55:00,21:10:00,52.0,82.11,0.0
ROUTE_52,5,12056,NEWDELHI JAN,DDN,NDLS,05:05:00,11:15:00,304.0,364.8,475.0
ROUTE_53,1,22476,CBE BKN AC S,PGT,BRC,16:20:00,19:31:00,1598.0,1598.0,0.0
ROUTE_53,2,22476,CBE BKN AC S,BRC,ANND,19:41:00,20:11:00,36.0,56.84,0.0
ROUTE_53,3,22452,CDG - BDTS E,ANND,UMB,02:28:00,06:30:00,1121.0,1121.0,377.0
ROUTE_53,4,12006,KLK-NDLS SHA,UMB,KKDE,07:38:00,08:09:00,42.0,66.32,68.0
ROUTE_53,5,12006,KLK-NDLS SHA,KKDE,NDLS,08:11:00,10:20:00,157.0,209.33,0.0
ROUTE_54,1,22476,CBE BKN AC S,PGT,BRC,16:20:00,19:31:00,1598.0,1598.0,0.0
ROUTE_54,2,22476,CBE BKN AC S,BRC,ANND,19:41:00,20:11:00,36.0,56.84,0.0
ROUTE_54,3,22452,CDG - BDTS E,ANND,UMB,02:28:00,06:30:00,1121.0,1121.0,377.0
ROUTE_54,4,12046,CDG-NDLS SHA,UMB,KUN,12:42:00,13:33:00,74.0,116.84,372.0
ROUTE_54,5,12046,CDG-NDLS SHA,KUN,NDLS,13:35:00,15:25:00,124.0,195.79,0.0
ROUTE_55,1,22476,CBE BKN AC S,PGT,BRC,16:20:00,19:31:00,1598.0,1598.0,0.0
ROUTE_55,2,22476,CBE BKN AC S,BRC,ANND,19:41:00,20:11:00,36.0,56.84,0.0
ROUTE_55,3,22452,CDG - BDTS E,ANND,UMB,02:28:00,06:30:00,1121.0,1121.0,377.0
ROUTE_55,4,22942,JAT INDB SF,UMB,PNP,11:50:00,13:05:00,109.0,172.11,320.0
ROUTE_55,5,12012,KLK-NDLS SHA,PNP,NDLS,20:35:00,21:55:00,90.0,142.11,450.0
ROUTE_56,1,22476,CBE BKN AC S,PGT,BRC,16:20:00,19:31:00,1598.0,1598.0,0.0
ROUTE_56,2,22476,CBE BKN AC S,BRC,ANND,19:41:00,20:11:00,36.0,56.84,0.0
ROUTE_56,3,22452,CDG - BDTS E,ANND,UMB,02:28:00,06:30:00,1121.0,1121.0,377.0
ROUTE_56,4,22942,JAT INDB SF,UMB,PNP,11:50:00,13:05:00,109.0,172.11,320.0
ROUTE_56,5,18216,JAT - DURG E,PNP,NDLS,16:35:00,18:45:00,89.0,140.53,210.0
ROUTE_57,1,12257,YPR-KCVL EXP,PGT,TCR,05:15:00,06:35:00,76.0,120.0,0.0
ROUTE_57,2,22645,AHILYANAGARI,TCR,SJP,11:00:00,19:43:00,2182.0,2257.24,265.0
ROUTE_57,3,12913,TRISHATABDI,SJP,HBJ,23:51:00,01:38:00,87.0,137.37,248.0
ROUTE_57,4,12913,TRISHATABDI,HBJ,BZU,01:43:00,05:03:00,192.0,256.0,0.0
ROUTE_57,5,12913,TRISHATABDI,BZU,AMLA,05:06:00,05:26:00,23.0,36.32,0.0
ROUTE_57,6,12616,G T EXPRESS,AMLA,NDLS,09:45:00,18:20:00,906.0,988.36,259.0
ROUTE_58,1,16343,TVC-MDU AMRI,PGT,PGTN,07:30:00,07:45:00,4.0,6.32,0.0
ROUTE_58,2,16343,TVC-MDU AMRI,PGTN,POY,07:50:00,09:05:00,54.0,85.26,0.0
ROUTE_58,3,16343,TVC-MDU AMRI,POY,VAK,09:10:00,23:04:00,385.0,462.0,0.0
ROUTE_58,4,12076,TVC - CLT JA,VAK,QLN,06:35:00,06:58:00,23.0,36.32,451.0
ROUTE_58,5,12218,KERALA S.KRA,QLN,KCVL,13:15:00,14:45:00,58.0,91.58,377.0
