Route ID,Segment,Type,Segment ID,Name,From,To,Departure,Arrival,Distance (km),Duration,Wait Before,Cost
ROUTE_11,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_11,2,train,12974_1,JP INDB SF E,SWM,KOTA,23:15:00,22:58:00,108.0,1h 15m,4h 4m,493
ROUTE_12,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_12,2,train,12976_1,JP MYS SF EX,SWM,KOTA,21:40:00,21:30:00,108.0,1h 15m,2h 30m,493
ROUTE_13,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_13,2,train,12980_1,JP BDTS  SF,SWM,KOTA,22:45:00,22:35:00,108.0,1h 20m,3h 35m,493
ROUTE_14,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_14,2,train,14709_1,BKN PURI EXP,SWM,KOTA,02:05:00,01:55:00,107.0,1h 15m,6h 55m,1639
ROUTE_15,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_15,2,train,16863_1,BGKT-MQ WKLY,SWM,KOTA,23:45:00,23:35:00,107.0,1h 10m,4h 35m,1441
ROUTE_16,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_16,2,train,18208_1,AII  - DURG,SWM,KOTA,23:45:00,23:35:00,108.0,1h 50m,4h 35m,895
ROUTE_17,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_17,2,train,18214_1,JP - DURG EX,SWM,KOTA,23:45:00,23:35:00,108.0,1h 50m,4h 35m,493
ROUTE_18,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_18,2,train,18574_1,BGKT-VSKP WE,SWM,KOTA,22:45:00,22:35:00,107.0,1h 20m,3h 35m,1441
ROUTE_19,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_19,2,train,19713_1,JP SC EXP,SWM,KOTA,23:15:00,22:58:00,108.0,1h 15m,4h 4m,493
ROUTE_20,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_20,2,train,20814_1,JODHPUR-PURI,SWM,KOTA,21:40:00,21:30:00,108.0,1h 15m,2h 30m,1429
ROUTE_21,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_21,2,train,22632_1,BKN-MAS  ANU,SWM,KOTA,23:45:00,23:35:00,107.0,1h 15m,4h 35m,1639
ROUTE_22,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_22,2,train,22942_1,JAT INDB SF,SWM,KOTA,20:58:00,20:56:00,108.0,1h 12m,1h 48m,2899
ROUTE_23,1,train,290_1,PALACE ON WH,JP,DPA,11:55:00,08:00:00,7.0,6h 5m,0h 0m,1033
ROUTE_23,2,train,9621_1,AII BDTS SF,DPA,SWM,09:27:00,09:24:00,124.0,1h 58m,1h 27m,523
ROUTE_23,3,train,8062_1,JP SHM SPL W,SWM,KOTA,15:35:00,15:15:00,108.0,1h 30m,6h 11m,493
ROUTE_24,1,train,290_1,PALACE ON WH,JP,DPA,11:55:00,08:00:00,7.0,6h 5m,0h 0m,1033
ROUTE_24,2,train,9621_1,AII BDTS SF,DPA,SWM,09:27:00,09:24:00,124.0,1h 58m,1h 27m,523
ROUTE_24,3,train,9621_1,AII BDTS SF,SWM,KOTA,11:35:00,11:25:00,108.0,1h 15m,0h 0m,895
ROUTE_25,1,train,290_1,PALACE ON WH,JP,DPA,11:55:00,08:00:00,7.0,6h 5m,0h 0m,1033
ROUTE_25,2,train,9621_1,AII BDTS SF,DPA,SWM,09:27:00,09:24:00,124.0,1h 58m,1h 27m,523
ROUTE_25,3,train,12904_1,GOLDN TEMPLE,SWM,KOTA,13:00:00,12:55:00,107.0,1h 20m,3h 36m,2683
ROUTE_26,1,train,290_1,PALACE ON WH,JP,DPA,11:55:00,08:00:00,7.0,6h 5m,0h 0m,1033
ROUTE_26,2,train,9621_1,AII BDTS SF,DPA,SWM,09:27:00,09:24:00,124.0,1h 58m,1h 27m,523
ROUTE_26,3,train,12940_1,JP PUNE SF E,SWM,KOTA,11:35:00,11:25:00,108.0,1h 15m,2h 11m,493
ROUTE_27,1,train,290_1,PALACE ON WH,JP,DPA,11:55:00,08:00:00,7.0,6h 5m,0h 0m,1033
ROUTE_27,2,train,9621_1,AII BDTS SF,DPA,SWM,09:27:00,09:24:00,124.0,1h 58m,1h 27m,523
ROUTE_27,3,train,12942_1,PARASNATH EX,SWM,KOTA,16:25:00,16:20:00,108.0,1h 20m,7h 1m,3919
ROUTE_28,1,train,290_1,PALACE ON WH,JP,DPA,11:55:00,08:00:00,7.0,6h 5m,0h 0m,1033
ROUTE_28,2,train,9621_1,AII BDTS SF,DPA,SWM,09:27:00,09:24:00,124.0,1h 58m,1h 27m,523
ROUTE_28,3,train,12948_1,AZIMABAD EXP,SWM,KOTA,16:25:00,16:20:00,108.0,1h 15m,7h 1m,3157
ROUTE_29,1,train,290_1,PALACE ON WH,JP,DPA,11:55:00,08:00:00,7.0,6h 5m,0h 0m,1033
ROUTE_29,2,train,9621_1,AII BDTS SF,DPA,SWM,09:27:00,09:24:00,124.0,1h 58m,1h 27m,523
ROUTE_29,3,train,12956_1,JP BCT SUPFA,SWM,KOTA,16:10:00,16:00:00,108.0,1h 15m,6h 46m,493
ROUTE_30,1,train,290_1,PALACE ON WH,JP,DPA,11:55:00,08:00:00,7.0,6h 5m,0h 0m,1033
ROUTE_30,2,train,9621_1,AII BDTS SF,DPA,SWM,09:27:00,09:24:00,124.0,1h 58m,1h 27m,523
ROUTE_30,3,train,19022_1,LJN BDTS EXP,SWM,KOTA,13:50:00,13:45:00,108.0,1h 50m,4h 26m,2095
ROUTE_31,1,train,290_1,PALACE ON WH,JP,DPA,11:55:00,08:00:00,7.0,6h 5m,0h 0m,1033
ROUTE_31,2,train,9621_1,AII BDTS SF,DPA,SWM,09:27:00,09:24:00,124.0,1h 58m,1h 27m,523
ROUTE_31,3,train,19042_1,GCT BANDRA(T,SWM,KOTA,13:35:00,13:30:00,108.0,1h 25m,4h 11m,2782
ROUTE_32,1,train,290_1,PALACE ON WH,JP,DPA,11:55:00,08:00:00,7.0,6h 5m,0h 0m,1033
ROUTE_32,2,train,9621_1,AII BDTS SF,DPA,SWM,09:27:00,09:24:00,124.0,1h 58m,1h 27m,523
ROUTE_32,3,train,22654_1,NZM-TVC WKLY,SWM,KOTA,14:53:00,14:51:00,108.0,1h 17m,5h 29m,1126
ROUTE_33,1,train,290_1,PALACE ON WH,JP,DPA,11:55:00,08:00:00,7.0,6h 5m,0h 0m,1033
ROUTE_33,2,train,9621_1,AII BDTS SF,DPA,SWM,09:27:00,09:24:00,124.0,1h 58m,1h 27m,523
ROUTE_33,3,train,22656_1,NZM-TVC WKLY,SWM,KOTA,14:53:00,14:51:00,108.0,1h 17m,5h 29m,1126
ROUTE_34,1,train,290_1,PALACE ON WH,JP,DPA,11:55:00,08:00:00,7.0,6h 5m,0h 0m,1033
ROUTE_34,2,train,9621_1,AII BDTS SF,DPA,SWM,09:27:00,09:24:00,124.0,1h 58m,1h 27m,523
ROUTE_34,3,train,22934_1,JP BDTS SF E,SWM,KOTA,15:30:00,15:15:00,108.0,1h 20m,6h 6m,493
ROUTE_35,1,train,290_1,PALACE ON WH,JP,DPA,11:55:00,08:00:00,7.0,6h 5m,0h 0m,1033
ROUTE_35,2,train,9621_1,AII BDTS SF,DPA,SWM,09:27:00,09:24:00,124.0,1h 58m,1h 27m,523
ROUTE_35,3,train,22970_1,BSB OKHA SF,SWM,KOTA,10:45:00,10:40:00,108.0,1h 15m,1h 21m,2479
ROUTE_36,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_36,2,train,12240_1,JP BCT DURON,SWM,RTM,21:05:00,20:55:00,373.0,4h 45m,0h 0m,493
ROUTE_36,3,train,12247_1,BDTS NZM YUV,RTM,KOTA,01:10:00,01:05:00,265.0,2h 30m,4h 15m,2026
ROUTE_37,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_37,2,train,12240_1,JP BCT DURON,SWM,RTM,21:05:00,20:55:00,373.0,4h 45m,0h 0m,493
ROUTE_37,3,train,12263_1,PUNE-NZM DUR,RTM,KOTA,22:15:00,22:10:00,266.0,2h 45m,1h 20m,2452
ROUTE_38,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_38,2,train,12240_1,JP BCT DURON,SWM,RTM,21:05:00,20:55:00,373.0,4h 45m,0h 0m,493
ROUTE_38,3,train,12909_1,NZM GARIB RA,RTM,KOTA,01:10:00,01:05:00,265.0,2h 30m,4h 15m,2026
ROUTE_39,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_39,2,train,12240_1,JP BCT DURON,SWM,RTM,21:05:00,20:55:00,373.0,4h 45m,0h 0m,493
ROUTE_39,3,train,12911_1,BL HARIDWAR,RTM,KOTA,23:00:00,22:50:00,265.0,3h 40m,2h 5m,1477
ROUTE_40,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_40,2,train,12240_1,JP BCT DURON,SWM,RTM,21:05:00,20:55:00,373.0,4h 45m,0h 0m,493
ROUTE_40,3,train,12917_1,GUJARAT SMPR,RTM,KOTA,23:40:00,23:35:00,266.0,3h 15m,2h 45m,1183
ROUTE_41,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_41,2,train,12240_1,JP BCT DURON,SWM,RTM,21:05:00,20:55:00,373.0,4h 45m,0h 0m,493
ROUTE_41,3,train,12953_1,AUG KR RAJ E,RTM,KOTA,02:20:00,02:18:00,266.0,2h 50m,5h 25m,2056
ROUTE_42,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_42,2,train,12240_1,JP BCT DURON,SWM,RTM,21:05:00,20:55:00,373.0,4h 45m,0h 0m,493
ROUTE_42,3,train,15667_1,GADHIDHAM-KA,RTM,KOTA,03:55:00,03:45:00,266.0,3h 25m,7h 0m,2302
ROUTE_43,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_43,2,train,12240_1,JP BCT DURON,SWM,RTM,21:05:00,20:55:00,373.0,4h 45m,0h 0m,493
ROUTE_43,3,train,22633_1,NIZAMUDDIN E,RTM,KOTA,04:00:00,03:55:00,266.0,3h 25m,7h 5m,6484
ROUTE_44,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_44,2,train,19024_1,FZR BCT JANT,SWM,IDG,21:08:00,21:05:00,36.0,0h 30m,1h 58m,2305
ROUTE_44,3,train,19804_1,SVDK-KOTA WE,IDG,KOTA,21:50:00,21:48:00,71.0,2h 0m,0h 45m,3268
ROUTE_45,1,train,12308_1,JU-HWH SUPFA,JP,BTE,02:10:00,01:50:00,187.0,2h 34m,0h 0m,1036
ROUTE_45,2,train,12911_1,BL HARIDWAR,BTE,NZM,07:14:00,07:12:00,161.0,3h 21m,5h 24m,3133
ROUTE_45,3,train,12218_1,KERALA S.KRA,NZM,KOTA,13:55:00,13:53:00,450.0,5h 50m,6h 43m,850
ROUTE_46,1,train,12308_1,JU-HWH SUPFA,JP,BTE,02:10:00,01:50:00,187.0,2h 34m,0h 0m,1036
ROUTE_46,2,train,12911_1,BL HARIDWAR,BTE,NZM,07:14:00,07:12:00,161.0,3h 21m,5h 24m,3133
ROUTE_46,3,train,12264_1,NZM-PUNE DUR,NZM,KOTA,10:55:00,10:55:00,450.0,4h 25m,3h 43m,100
ROUTE_47,1,train,12308_1,JU-HWH SUPFA,JP,BTE,02:10:00,01:50:00,187.0,2h 34m,0h 0m,1036
ROUTE_47,2,train,12911_1,BL HARIDWAR,BTE,NZM,07:14:00,07:12:00,161.0,3h 21m,5h 24m,3133
ROUTE_47,3,train,12432_1,NZM-TVC RAJD,NZM,KOTA,10:55:00,10:55:00,450.0,4h 25m,3h 43m,100
ROUTE_48,1,train,12308_1,JU-HWH SUPFA,JP,BTE,02:10:00,01:50:00,187.0,2h 34m,0h 0m,1036
ROUTE_48,2,train,12911_1,BL HARIDWAR,BTE,NZM,07:14:00,07:12:00,161.0,3h 21m,5h 24m,3133
ROUTE_48,3,train,12484_1,KCVL EXPRESS,NZM,KOTA,13:55:00,13:53:00,450.0,5h 45m,6h 43m,1462
ROUTE_49,1,train,12308_1,JU-HWH SUPFA,JP,BTE,02:10:00,01:50:00,187.0,2h 34m,0h 0m,1036
ROUTE_49,2,train,12911_1,BL HARIDWAR,BTE,NZM,07:14:00,07:12:00,161.0,3h 21m,5h 24m,3133
ROUTE_49,3,train,22414_1,NZM-MAO RAJD,NZM,KOTA,10:55:00,10:55:00,450.0,4h 25m,3h 43m,100
ROUTE_50,1,train,12308_1,JU-HWH SUPFA,JP,BTE,02:10:00,01:50:00,187.0,2h 34m,0h 0m,1036
ROUTE_50,2,train,12911_1,BL HARIDWAR,BTE,NZM,07:14:00,07:12:00,161.0,3h 21m,5h 24m,3133
ROUTE_50,3,train,22660_1,DDN KCVL SUP,NZM,KOTA,13:55:00,13:20:00,450.0,5h 50m,6h 43m,1018
ROUTE_51,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_51,2,train,12240_1,JP BCT DURON,SWM,RTM,21:05:00,20:55:00,373.0,4h 45m,0h 0m,493
ROUTE_51,3,train,1706_1,JBP-BDTS SF,RTM,BRC,01:25:00,01:15:00,263.0,3h 20m,4h 30m,1957
ROUTE_51,4,train,12449_1,GOA SMPRK K,BRC,KOTA,02:21:00,02:03:00,527.0,7h 39m,1h 6m,2899
ROUTE_52,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_52,2,train,12240_1,JP BCT DURON,SWM,RTM,21:05:00,20:55:00,373.0,4h 45m,0h 0m,493
ROUTE_52,3,train,2732_1,JP-HYB SPECI,RTM,NAD,00:50:00,00:25:00,44.0,0h 40m,3h 55m,1627
ROUTE_52,4,train,12947_1,AZIMABAD EXP,NAD,KOTA,04:57:00,04:55:00,221.0,2h 28m,4h 32m,1318
ROUTE_53,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_53,2,train,12240_1,JP BCT DURON,SWM,RTM,21:05:00,20:55:00,373.0,4h 45m,0h 0m,493
ROUTE_53,3,train,2732_1,JP-HYB SPECI,RTM,NAD,00:50:00,00:25:00,44.0,0h 40m,3h 55m,1627
ROUTE_53,4,train,12951_1,MUMBAI RAJDH,NAD,KOTA,01:20:00,01:18:00,221.0,2h 0m,0h 55m,2191
ROUTE_54,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_54,2,train,12240_1,JP BCT DURON,SWM,RTM,21:05:00,20:55:00,373.0,4h 45m,0h 0m,493
ROUTE_54,3,train,2732_1,JP-HYB SPECI,RTM,NAD,00:50:00,00:25:00,44.0,0h 40m,3h 55m,1627
ROUTE_54,4,train,12973_1,INDB JP SF E,NAD,KOTA,01:30:00,01:05:00,221.0,2h 35m,1h 5m,499
ROUTE_55,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_55,2,train,12240_1,JP BCT DURON,SWM,RTM,21:05:00,20:55:00,373.0,4h 45m,0h 0m,493
ROUTE_55,3,train,2732_1,JP-HYB SPECI,RTM,NAD,00:50:00,00:25:00,44.0,0h 40m,3h 55m,1627
ROUTE_55,4,train,12979_1,BDTS JP SF E,NAD,KOTA,03:55:00,03:53:00,221.0,2h 35m,3h 30m,2158
ROUTE_56,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_56,2,train,12240_1,JP BCT DURON,SWM,RTM,21:05:00,20:55:00,373.0,4h 45m,0h 0m,493
ROUTE_56,3,train,2732_1,JP-HYB SPECI,RTM,NAD,00:50:00,00:25:00,44.0,0h 40m,3h 55m,1627
ROUTE_56,4,train,15635_1,DWARKA EXPRE,NAD,KOTA,04:57:00,04:55:00,221.0,2h 23m,4h 32m,2803
ROUTE_57,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_57,2,train,12240_1,JP BCT DURON,SWM,RTM,21:05:00,20:55:00,373.0,4h 45m,0h 0m,493
ROUTE_57,3,train,2732_1,JP-HYB SPECI,RTM,NAD,00:50:00,00:25:00,44.0,0h 40m,3h 55m,1627
ROUTE_57,4,train,22969_1,OKHA BSB EXP,NAD,KOTA,07:12:00,07:10:00,221.0,2h 28m,6h 47m,2803
ROUTE_58,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_58,2,train,12240_1,JP BCT DURON,SWM,RTM,21:05:00,20:55:00,373.0,4h 45m,0h 0m,493
ROUTE_58,3,train,12240_1,JP BCT DURON,RTM,BRC,01:55:00,01:50:00,262.0,3h 58m,0h 0m,1612
ROUTE_58,4,train,12449_1,GOA SMPRK K,BRC,KOTA,02:21:00,02:03:00,527.0,7h 39m,0h 31m,2899
ROUTE_59,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_59,2,train,12240_1,JP BCT DURON,SWM,RTM,21:05:00,20:55:00,373.0,4h 45m,0h 0m,493
ROUTE_59,3,train,19021_1,BDTS LJN EXP,RTM,BWM,23:00:00,22:40:00,165.0,2h 5m,2h 5m,2026
ROUTE_59,4,train,12975_1,MYS JP SF EX,BWM,KOTA,00:40:00,00:39:00,101.0,1h 5m,2h 0m,6532
ROUTE_60,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_60,2,train,12240_1,JP BCT DURON,SWM,RTM,21:05:00,20:55:00,373.0,4h 45m,0h 0m,493
ROUTE_60,3,train,19021_1,BDTS LJN EXP,RTM,BWM,23:00:00,22:40:00,165.0,2h 5m,2h 5m,2026
ROUTE_60,4,train,16864_1,MQ-BGKT,BWM,KOTA,05:04:00,05:02:00,101.0,1h 11m,6h 24m,6703
ROUTE_61,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_61,2,train,12240_1,JP BCT DURON,SWM,RTM,21:05:00,20:55:00,373.0,4h 45m,0h 0m,493
ROUTE_61,3,train,19021_1,BDTS LJN EXP,RTM,BWM,23:00:00,22:40:00,165.0,2h 5m,2h 5m,2026
ROUTE_61,4,train,19021_1,BDTS LJN EXP,BWM,KOTA,01:10:00,01:05:00,100.0,1h 30m,0h 0m,2521
ROUTE_62,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_62,2,train,12240_1,JP BCT DURON,SWM,RTM,21:05:00,20:55:00,373.0,4h 45m,0h 0m,493
ROUTE_62,3,train,19021_1,BDTS LJN EXP,RTM,BWM,23:00:00,22:40:00,165.0,2h 5m,2h 5m,2026
ROUTE_62,4,train,22941_1,INDB JAT SF,BWM,KOTA,04:50:00,04:48:00,100.0,1h 20m,6h 10m,862
ROUTE_63,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_63,2,train,19024_1,FZR BCT JANT,SWM,IDG,21:08:00,21:05:00,36.0,0h 30m,1h 58m,2305
ROUTE_63,3,train,19024_1,FZR BCT JANT,IDG,LKE,21:40:00,21:38:00,11.0,0h 10m,0h 0m,2413
ROUTE_63,4,train,19024_1,FZR BCT JANT,LKE,KOTA,21:52:00,21:50:00,60.0,1h 23m,0h 0m,2446
ROUTE_64,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_64,2,train,12240_1,JP BCT DURON,SWM,RTM,21:05:00,20:55:00,373.0,4h 45m,0h 0m,493
ROUTE_64,3,train,12240_1,JP BCT DURON,RTM,BRC,01:55:00,01:50:00,262.0,3h 58m,0h 0m,1612
ROUTE_64,4,train,1705_1,BDTS-JBP SF,BRC,RTM,06:20:00,06:10:00,262.0,3h 40m,4h 30m,1240
ROUTE_64,5,train,4419_1,MAO-NZM WINT,RTM,KOTA,06:40:00,06:35:00,266.0,3h 30m,0h 30m,3709
ROUTE_65,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_65,2,train,12240_1,JP BCT DURON,SWM,RTM,21:05:00,20:55:00,373.0,4h 45m,0h 0m,493
ROUTE_65,3,train,12240_1,JP BCT DURON,RTM,BRC,01:55:00,01:50:00,262.0,3h 58m,0h 0m,1612
ROUTE_65,4,train,1705_1,BDTS-JBP SF,BRC,RTM,06:20:00,06:10:00,262.0,3h 40m,4h 30m,1240
ROUTE_65,5,train,12283_1,ERS-NZM DURO,RTM,KOTA,09:15:00,09:10:00,266.0,3h 35m,3h 5m,5866
ROUTE_66,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100
ROUTE_66,2,train,12240_1,JP BCT DURON,SWM,RTM,21:05:00,20:55:00,373.0,4h 45m,0h 0m,493
ROUTE_66,3,train,12240_1,JP BCT DURON,RTM,BRC,01:55:00,01:50:00,262.0,3h 58m,0h 0m,1612
ROUTE_66,4,train,1705_1,BDTS-JBP SF,BRC,RTM,06:20:00,06:10:00,262.0,3h 40m,4h 30m,1240
ROUTE_66,5,train,22209_1,NDLS DURONTO,RTM,KOTA,07:40:00,07:35:00,266.0,2h 45m,1h 30m,2056
ROUTE_67,1,train,12308_1,JU-HWH SUPFA,JP,BTE,02:10:00,01:50:00,187.0,2h 34m,0h 0m,1036
ROUTE_67,2,train,12308_1,JU-HWH SUPFA,BTE,AH,04:46:00,04:44:00,28.0,0h 22m,0h 0m,1597
ROUTE_67,3,train,12308_1,JU-HWH SUPFA,AH,AF,05:10:00,05:08:00,26.0,0h 45m,0h 0m,1681
ROUTE_67,4,train,12308_1,JU-HWH SUPFA,AF,TDL,06:20:00,05:55:00,22.0,1h 15m,0h 0m,1759
ROUTE_67,5,train,12308_1,JU-HWH SUPFA,TDL,ETW,07:40:00,07:35:00,87.0,0h 58m,0h 0m,1825
ROUTE_67,6,train,12308_1,JU-HWH SUPFA,ETW,CNB,08:40:00,08:38:00,135.0,2h 5m,0h 0m,2086
ROUTE_67,7,train,12825_1,RNC NDLS SAM,CNB,NDLS,13:55:00,13:40:00,431.0,7h 0m,5h 17m,2698
ROUTE_67,8,train,9006_1,NDLS BCT BI,NDLS,KOTA,14:50:00,14:50:00,457.0,4h 40m,1h 10m,100
ROUTE_68,1,train,12308_1,JU-HWH SUPFA,JP,BTE,02:10:00,01:50:00,187.0,2h 34m,0h 0m,1036
ROUTE_68,2,train,12308_1,JU-HWH SUPFA,BTE,AH,04:46:00,04:44:00,28.0,0h 22m,0h 0m,1597
ROUTE_68,3,train,12308_1,JU-HWH SUPFA,AH,AF,05:10:00,05:08:00,26.0,0h 45m,0h 0m,1681
ROUTE_68,4,train,12308_1,JU-HWH SUPFA,AF,TDL,06:20:00,05:55:00,22.0,1h 15m,0h 0m,1759
ROUTE_68,5,train,12308_1,JU-HWH SUPFA,TDL,ETW,07:40:00,07:35:00,87.0,0h 58m,0h 0m,1825
ROUTE_68,6,train,12308_1,JU-HWH SUPFA,ETW,CNB,08:40:00,08:38:00,135.0,2h 5m,0h 0m,2086
ROUTE_68,7,train,12825_1,RNC NDLS SAM,CNB,NDLS,13:55:00,13:40:00,431.0,7h 0m,5h 17m,2698
ROUTE_68,8,train,12952_1,MUMBAI RAJDH,NDLS,KOTA,16:25:00,16:25:00,457.0,4h 35m,2h 45m,100
